130948,4095,4095,4095,1001,1548,-0.03125,-0.78125,1.06250,24.700
131008,4095,4095,4095,1005,1544,-0.01562,-0.78125,1.06250,24.700
131018,4095,4095,4095,1005,1546,-0.03125,-0.76562,1.07812,24.700
131028,4095,4095,4095,997,1546,-0.03125,-0.76562,1.06250,24.710
131038,4095,4095,4095,1002,1546,-0.03125,-0.76562,1.06250,24.700
131048,4095,4095,4095,1007,1546,-0.03125,-0.76562,1.06250,24.700
131058,4095,4095,4095,1003,1546,-0.04688,-0.76562,1.04688,24.700
131068,4095,4095,4095,999,1548,-0.01562,-0.79688,1.04688,24.700
131078,4095,4095,4095,1000,1548,0.00000,-0.75000,1.06250,24.700
131088,4095,4095,4095,999,1546,-0.03125,-0.76562,1.04688,24.700
131098,4095,4095,4095,1005,1547,-0.04688,-0.76562,1.03125,24.700
131108,4095,4095,4095,999,1546,-0.01562,-0.76562,1.07812,24.690
131118,4095,4095,4095,997,1546,-0.01562,-0.75000,1.06250,24.700
131128,4095,4095,4095,999,1548,-0.01562,-0.78125,1.07812,24.710
131138,4095,4095,4095,998,1544,-0.03125,-0.76562,1.04688,24.700
131148,4095,4095,4095,1004,1546,-0.03125,-0.78125,1.07812,24.700
131158,4095,4095,4095,999,1546,-0.03125,-0.75000,1.04688,24.710
131168,4095,4095,4095,1003,1546,-0.01562,-0.76562,1.06250,24.700
131178,4095,4095,4095,999,1546,-0.01562,-0.75000,1.04688,24.700
131188,4095,4095,4095,998,1545,-0.01562,-0.75000,1.06250,24.710
131198,4095,4095,4095,999,1550,-0.03125,-0.76562,1.04688,24.710
131208,4095,4095,4095,1006,1546,-0.03125,-0.76562,1.07812,24.690
131218,4095,4095,4095,999,1546,-0.03125,-0.76562,1.04688,24.700
131228,4095,4095,4095,1000,1546,-0.01562,-0.75000,1.06250,24.710
131238,4095,4095,4095,998,1546,-0.01562,-0.79688,1.01562,24.710
131248,4095,4095,4095,1005,1547,0.00000,-0.76562,1.04688,24.710
131258,4095,4095,4095,1001,1548,-0.03125,-0.76562,1.04688,24.710
131268,4095,4095,4095,1003,1546,-0.03125,-0.79688,1.03125,24.700
131278,4095,4095,4095,1003,1546,-0.04688,-0.78125,1.04688,24.710
131288,4095,4095,4095,1003,1548,-0.03125,-0.75000,1.04688,24.710
131298,4095,4095,4095,1005,1546,-0.01562,-0.76562,1.04688,24.700
131308,4095,4095,4095,1005,1548,-0.03125,-0.76562,1.04688,24.700
131318,4095,4095,4095,1003,1548,-0.01562,-0.78125,1.06250,24.720
131328,4095,4095,4095,1003,1544,-0.01562,-0.76562,1.06250,24.700
131338,4095,4095,4095,1003,1546,-0.03125,-0.78125,1.04688,24.710
131348,4095,4095,4095,1003,1547,-0.01562,-0.78125,1.03125,24.710
131358,4095,4095,4095,1003,1544,-0.01562,-0.79688,1.06250,24.700
131368,4095,4095,4095,1005,1548,-0.01562,-0.76562,1.04688,24.710
131378,4095,4095,4095,1003,1546,-0.03125,-0.76562,1.04688,24.710
131388,4095,4095,4095,1001,1548,-0.03125,-0.76562,1.03125,24.710
131398,4095,4095,4095,1000,1548,0.00000,-0.76562,1.04688,24.710
131408,4095,4095,4095,1000,1547,-0.03125,-0.76562,1.07812,24.700
131418,4095,4095,4095,1003,1548,-0.03125,-0.76562,1.04688,24.700
131428,4095,4095,4095,1003,1548,-0.03125,-0.76562,1.06250,24.710
131438,4095,4095,4095,1001,1548,-0.03125,-0.78125,1.04688,24.700
131448,4095,4095,4095,1003,1544,-0.01562,-0.78125,1.04688,24.700
131458,4095,4095,4095,997,1547,-0.03125,-0.76562,1.03125,24.720
131468,4095,4095,4095,1004,1546,-0.01562,-0.76562,1.06250,24.710
131478,4095,4095,4095,1004,1544,0.00000,-0.76562,1.04688,24.710
131488,4095,4095,4095,1007,1546,-0.04688,-0.75000,1.06250,24.710
131498,4095,4095,4095,999,1544,-0.03125,-0.78125,1.04688,24.700
131508,4095,4095,4095,995,1546,-0.03125,-0.78125,1.04688,24.710
131518,4095,4095,4095,1003,1546,-0.03125,-0.78125,1.04688,24.700
131528,4095,4095,4095,999,1548,-0.01562,-0.76562,1.04688,24.710
131538,4095,4095,4095,1003,1546,-0.06250,-0.78125,1.06250,24.710
131548,4095,4095,4095,997,1546,-0.03125,-0.78125,1.04688,24.700
131558,4095,4095,4095,1006,1547,-0.04688,-0.78125,1.04688,24.710
131568,4095,4095,4095,999,1546,-0.01562,-0.76562,1.06250,24.710
131578,4095,4095,4095,1003,1550,-0.03125,-0.78125,1.09375,24.700
131588,4095,4095,4095,997,1546,-0.03125,-0.76562,1.04688,24.710
131598,4095,4095,4095,1006,1546,-0.03125,-0.78125,1.04688,24.700
131608,4095,4095,4095,997,1548,-0.03125,-0.76562,1.04688,24.700
131618,4095,4095,4095,1003,1544,-0.04688,-0.76562,1.06250,24.710
131628,4095,4095,4095,999,1545,-0.03125,-0.76562,1.04688,24.710
131638,4095,4095,4095,1003,1545,0.00000,-0.76562,1.04688,24.700
